id,peopleId,movieId,personName,name,peopleType
67984126,312388,136578,Chris Pratt,Mario,Actor
67984127,298648,136578,Charlie Day,Luigi,Actor
67984128,507223,136578,Anya Taylor-Joy,Princess Peach,Actor
67984129,290491,136578,Jack Black,Bowser,Actor
67984130,303443,136578,Keegan-Michael Key,Toad,Actor
67984131,296972,136578,Seth Rogen,Donkey Kong,Actor
67984132,295282,136578,Fred Armisen,Cranky Kong,Actor
67984133,274256,136578,Kevin Michael Richardson,Kamek,Actor
67984134,375399,136578,Sebastian Maniscalco,Spike,Actor
67984135,354192,136578,Charles Martinet,Giuseppe ,Actor
68815478,505195,136578,Aaron Horvath,,Director
68815479,302645,136578,Michael Jelenic,,Director
68903191,295568,136578,Khary Payton,Penguin King,Actor
68922198,297664,136578,Eric Bauza,Toad General,Actor
68924129,9110753,136578,Juliet Jelenic,Lumalee,Actor
69209808,7872510,136578,Jessica DiCicco,Mario's Mom,Actor
69209809,280675,136578,John DiMaggio,Uncle Arthur,Actor
69209810,261496,136578,Rino Romano,Uncle Tony,Actor
69364840,8504612,136578,Christopher Meledandri,,Producer
69364841,297251,136578,Shigeru Miyamoto,,Producer
69364844,9142560,136578,Matthew Fogel,,Writer
69364847,660623,136578,Brett Hoffman,,Executive Producer
69364849,428921,136578,Bill Ryan,,Executive Producer
69364852,9142561,136578,Yusuke Beppu,,Executive Producer
69364859,266693,136578,Scott Menville,Koopa General,Actor
69364861,354192,136578,Charles Martinet,Mario's Dad,Actor
12138514,310820,66,Daniel Radcliffe,Harry Potter,Actor
12138515,356218,66,Rupert Grint,Ron Weasley,Actor
12138516,381676,66,Emma Watson,Hermione Granger,Actor
12138517,254158,66,Richard Harris,Albus Dumbledore,Actor
12138518,255178,66,Tom Felton,Draco Malfoy,Actor
12138519,294150,66,Alan Rickman,Severus Snape,Actor
12138520,356982,66,Maggie Smith,Minerva McGonagall,Actor
12138521,323003,66,Richard Griffiths,Vernon Dursley,Actor
12138522,476088,66,Ian Hart,Quirinus Quirrell,Actor
12138523,260511,66,Fiona Shaw,Petunia Dursley,Actor
12138524,272507,66,John Hurt,Garrick Ollivander,Actor
12138525,247908,66,David Bradley,Argus Filch,Actor
12138526,333869,66,Matthew Lewis,Neville Longbottom,Actor
12138527,8102501,66,Warwick Davis,Filius Flitwick,Actor
12138528,490365,66,Harry Melling,Dudley Dursley,Actor
12138529,254792,66,John Cleese,Nearly Headless Nick,Actor
12138530,589749,66,Chris Rankin,Percy Weasley,Actor
12138531,485837,66,Alfred Enoch,Dean Thomas,Actor
12138532,261527,66,Zoë Wanamaker,Rolanda Hooch,Actor
12138533,262467,66,Julie Walters,Molly Weasley,Actor
12138534,646874,66,Bonnie Wright,Ginny Weasley,Actor
12138535,383109,66,Luke Youngblood,Lee Jordan,Actor
12138536,285757,66,Verne Troyer,Griphook,Actor
12138537,322198,66,Adrian Rawlins,James Potter,Actor
12138538,548450,66,Geraldine Somerville,Lily Potter,Actor
12138539,348639,66,Elizabeth Spriggs,The Fat Lady,Actor
12138540,315018,66,Richard Bremmer,Voldemort,Actor
12138541,343759,66,Nina Young,The Grey Lady,Actor
12138542,283513,66,Terence Bayler,The Bloody Baron,Actor
12138543,259704,66,Leslie Phillips,Sorting Hat,Actor
12138544,539577,66,Simon Fisher-Becker,The Fat Friar,Actor
12138545,274010,66,Derek Deadman,Tom,Actor
12138546,450768,66,Ray Fearon,Firenze,Actor
12138550,304894,66,Chris Columbus,,Director
65515724,7864943,66,Robbie Coltrane,Rubeus Hagrid,Actor
65515815,8146549,66,Oliver Phelps,George Weasley,Actor
65515816,8102368,66,James Phelps,Fred Weasley,Actor
65515817,7931544,66,Jamie Waylett,Vincent Crabbe,Actor
65515818,7938879,66,Josh Herdman,Gregory Goyle,Actor
65515819,7966594,66,Devon Murray,Seamus Finnigan,Actor
65515829,8122834,66,Sean Biggerstaff,Oliver Wood,Actor
65516365,8060618,66,Scot Fearn,Terrence Higgs,Actor
65597033,8173813,66,Steve Kloves,,Writer
68991307,9115556,66,Michael Barnathan,,Executive Producer
68991308,304894,66,Chris Columbus,,Executive Producer
68991309,433816,66,Duncan Henderson,,Executive Producer
68991310,7921161,66,David Heyman,,Producer
68991311,374421,66,Mark Radcliffe,,Executive Producer
68991697,9115574,66,Emily Dale,Katie Bell,Actor
68991699,7973412,66,Eleanor Columbus,Susan Bones,Actor
68991702,8257044,66,David Brett,Dedalus Diggle,Actor
68991706,7938847,66,Jamie Yeates,Marcus Flint,Actor
68991710,9115575,66,Danielle Tabor,Angelina Johnson,Actor
12138403,310820,63,Daniel Radcliffe,Harry Potter,Actor
12138404,356218,63,Rupert Grint,Ron Weasley,Actor
12138405,381676,63,Emma Watson,Hermione Granger,Actor
12138406,254158,63,Richard Harris,Albus Dumbledore,Actor
12138407,294150,63,Alan Rickman,Severus Snape,Actor
12138408,255178,63,Tom Felton,Draco Malfoy,Actor
12138409,253927,63,Kenneth Branagh,Gilderoy Lockhart,Actor
12138410,356982,63,Maggie Smith,Minerva McGonagall,Actor
12138411,247908,63,David Bradley,Argus Filch,Actor
12138412,646874,63,Bonnie Wright,Ginny Weasley,Actor
12138413,333869,63,Matthew Lewis,Neville Longbottom,Actor
12138414,346159,63,Jason Isaacs,Lucius Malfoy,Actor
12138415,259429,63,Shirley Henderson,Moaning Myrtle,Actor
12138416,304821,63,Toby Jones,Dobby,Actor
12138417,323003,63,Richard Griffiths,Vernon Dursley,Actor
12138418,260511,63,Fiona Shaw,Petunia Dursley,Actor
