id,name,acquired,slug,runtime,year,genres,budget,boxOffice,originalCountry,originalLanguage,franchise,status.recordType
136578,The Super Mario Bros. Movie,False,super-mario,92.0,2023,"Adventure, Animation, Comedy",100000000.0,1301294265.0,usa,eng,Super Mario Bros. Franchise,movie
66,Harry Potter and the Philosopher's Stone,False,harry-potter-and-the-philosophers-stone,152.0,2001,"Adventure, Family, Fantasy",125000000.0,978100000.0,gbr,eng,Harry Potter Franchise,movie
63,Harry Potter and the Chamber of Secrets,False,harry-potter-and-the-chamber-of-secrets,161.0,2002,"Adventure, Family, Fantasy, Mystery",100000000.0,879602366.0,gbr,eng,Harry Potter Franchise,movie
154,Harry Potter and the Prisoner of Azkaban,False,harry-potter-and-the-prisoner-of-azkaban,142.0,2004,"Adventure, Family, Fantasy, Mystery",130000000.0,796700000.0,gbr,eng,Harry Potter Franchise,movie
153,Harry Potter and the Goblet of Fire,False,harry-potter-and-the-goblet-of-fire,157.0,2005,"Adventure, Family, Fantasy, Mystery",140000000.0,895900000.0,gbr,eng,Harry Potter Franchise,movie
128,Harry Potter and the Order of the Phoenix,False,harry-potter-and-the-order-of-the-phoenix,138.0,2007,"Action, Adventure, Family, Fantasy, Mystery",150000000.0,938500000.0,gbr,eng,Harry Potter Franchise,movie
181,Harry Potter and the Half-Blood Prince,False,harry-potter-and-the-half-blood-prince,153.0,2009,"Action, Adventure, Family, Fantasy, Mystery",250000000.0,933900000.0,gbr,eng,Harry Potter Franchise,movie
201,Harry Potter and the Deathly Hallows: Part 1,False,harry-potter-and-the-deathly-hallows-part-1,146.0,2010,"Action, Adventure, Family, Fantasy",250000000.0,960000000.0,gbr,eng,Harry Potter Franchise,movie
142,Harry Potter and the Deathly Hallows: Part 2,False,harry-potter-and-the-deathly-hallows-part-2,130.0,2011,"Adventure, Family, Fantasy, Mystery",1250000000.0,1340000000.0,usa,eng,Harry Potter Franchise,movie
359067,The Drama,False,the-drama,105.0,2026,"Comedy, Drama, Romance",0.0,26232083.0,usa,eng,,movie
108,Iron Man,False,iron-man,126.0,2008,"Action, Adventure, Science Fiction",140000000.0,585366247.0,usa,eng,Marvel Cinematic Universe,movie
