id,seriesId,name,aired,overview,number,absoluteNumber,seasonNumber,year
2321301,80379,Unaired Pilot,2007-09-24,"The very first pilot of ""The Big Bang Theory,"" starring Amanda Walsh playing Katie, and a female friend called Gilda  played by Iris Bahr.",1,0,0,2007
4302970,80379,Access All Areas,2012-04-05,"Celebrating the 100th episode of US sitcom ""The Big Bang Theory,"" Rick Edwards travels to the Hollywood set for an access-all-areas visit, catching up with the cast and learning everything there is to know about the show. This behind-the-scenes special takes fans through everything from the writing of the script to the recording of the show in front of a live audience.",2,0,0,2012
4302972,80379,It All Started With A Big Bang,2012-04-05,"As ""The Big Bang Theory"" celebrates its 100th episode, Rick Edwards looks back at some of the US sitcom's most hilarious and memorable scenes and talks with the cast and crew on the set in Hollywood. The actors share their favorite moments and reveal a few secrets about the making of the show.",3,0,0,2012
5399318,80379,Comic-Con 2015 Writers Panel,2015-07-10,"The cast and crew of ""The Big Bang Theory"" answer questions from the fans at Comic-Con 2015.",4,0,0,2015
5742381,80379,Comic-Con 2016 Writers Panel,2016-08-18,"The writers of ""The Big Bang Theory"" answer questions during the 2016 Comic Con Writers Panel.",5,0,0,2016
7159758,80379,Unraveling the Mystery: A Big Bang Farewell,2019-05-16,"Johnny Galecki and Kaley Cuoco lead fans on a trip down memory lane, sharing some of the best-kept backstage secrets and personal memories from the past 12 years. They reveal their favorite moments playing beloved characters Leonard and Penny, and revisit some of the most memorable stories from “The Big Bang Theory Stage.” Additionally they tour the iconic sets, including Leonard and Sheldon’s apartment and show unforgettable clips and interviews to celebrate this beloved series.",6,0,0,2019
332484,80379,Pilot,2007-09-24,"Brilliant physicist roommates Leonard and Sheldon meet their new neighbor Penny, who begins showing them that as much as they know about science, they know little about actual living.",1,1,1,2007
337065,80379,The Big Bran Hypothesis,2007-10-01,"Leonard volunteers to sign for a package in an attempt to make a good impression on Penny, but when he enlists Sheldon for help, his attempt at chivalry goes terribly awry.",2,2,1,2007
337249,80379,The Fuzzy Boots Corollary,2007-10-08,"When Leonard learns Penny is seeing someone, he decided to asks a nerdy female co-worker out on a date.",3,3,1,2007
338488,80379,The Luminous Fish Effect,2007-10-15,"When Sheldon gets fired and decides to explore life beyond physics, it's up to Leonard to take drastic action to snap his friend out of his funk.",4,4,1,2007
339077,80379,The Hamburger Postulate,2007-10-22,"Fearing he's wasting his time on Penny, Leonard ends up making a connection with colleague Leslie Winkle.",5,5,1,2007
339895,80379,The Middle Earth Paradigm,2007-10-29,"Penny hosts a Halloween party, that ends up putting Leonard, Sheldon, Wolowitz, and Koothrappali through a new test of their social skills.",6,6,1,2007
341166,80379,The Dumpling Paradox,2007-11-05,"When Wolowitz seduces one of Penny's friend who then takes over her apartment, Penny sleeps on Leonard and Sheldon's couch. Meanwhile, Penny is recruited to fill in for Howard on the guys' Halo team.",7,7,1,2007
341996,80379,The Grasshopper Experiment,2007-11-12,"Raj's parents set him up on a blind date, but just when he discovers he can talk to his date, she shows interest in Sheldon.",8,8,1,2007
