id,peopleId,seriesId,personName,name
64621157,248031,80379,Mayim Bialik,Amy Farrah Fowler
64621160,248032,80379,Melissa Rauch,Bernadette Rostenkowski
64621164,248033,80379,Kunal Nayyar,Rajesh Koothrappali
64621170,248034,80379,Simon Helberg,Howard Wolowitz
64621175,248035,80379,Kaley Cuoco,Penny
64621179,248036,80379,Johnny Galecki,Leonard Hofstadter
64621184,248037,80379,Jim Parsons,Sheldon Cooper
64621188,248038,80379,Laura Spencer,Emily Sweeney
64621192,248039,80379,Sara Gilbert,Leslie Winkle
64621196,248040,80379,Kevin Sussman,Stuart Bloom
64621200,248041,80379,John Ross Bowie,Barry Kripke
64621204,248042,80379,Carol Ann Susi,Debbie Wolowitz
63967220,304377,79168,Jennifer Aniston,Rachel Green
63967222,321165,79168,Lisa Kudrow,Phoebe Buffay
63967224,282129,79168,Matthew Perry,Chandler Bing
63967225,274631,79168,David Schwimmer,Ross Geller
63967226,254682,79168,Courteney Cox,Monica Geller
63967227,327327,79168,Matt LeBlanc,Joey Tribbiani
69194995,7990743,79168,James Michael Tyler,Gunther
63479517,7897285,78107,Julie Fernandez,Brenda
63479520,338867,78107,Martin Freeman,Tim Canterbury
63479522,418734,78107,Stirling Gallacher,Jennifer Taylor-Clark
63479524,310469,78107,Ricky Gervais,David Brent
63479527,376587,78107,Kiki Kendrick,
63479528,7897289,78107,Jamie Deeks,Jamie
63479529,290528,78107,Patrick Baladi,Neil Godwin
63479530,445050,78107,Ewen MacIntosh,Keith
63479532,361326,78107,Rachel Isaac,Trudy
63479535,7897290,78107,Stacey Roca,Rachel
63479537,457486,78107,Alexander Perkins,Ralph
63479538,444754,78107,Oliver Chris,Ricky Howard
63479541,434102,78107,Joel Beckett,Lee
63479544,272580,78107,Sally Bretton,Donna
63479545,247978,78107,Ralph Ineson,Chris 'Finchy' Finch
63479548,321524,78107,Lucy Davis,Dawn Tinsley
63479549,247992,78107,Mackenzie Crook,Gareth Keenan
65264224,255067,73244,Jenna Fischer,Pam Beesly
65264231,327265,73244,John Krasinski,Jim Halpert
65264235,255150,73244,Rainn Wilson,Dwight Schrute
65264240,296970,73244,Steve Carell,Michael Scott
65264243,314598,73244,Leslie David Baker,Stanley Hudson
65264250,348837,73244,Brian Baumgartner,Kevin Malone
65264256,284456,73244,Oscar Nuñez,Oscar Martinez
65264261,358559,73244,B.J. Novak,Ryan Howard
65264266,308132,73244,Angela Kinsey,Angela Martin
65264270,334069,73244,Phyllis Smith,Phyllis Vance
65264275,310233,73244,Ed Helms,Andy Bernard
65264277,308209,73244,Kate Flannery,Meredith Palmer
65264282,255102,73244,Mindy Kaling,Kelly Kapoor
65264286,302586,73244,Creed Bratton,Creed Bratton
65264291,255300,73244,Melora Hardin,Jan Levinson-Gould
65264295,310175,73244,Paul Lieberstein,Toby Flenderson
65264300,274847,73244,David Denman,Roy Anderson
65264303,280092,73244,Craig Robinson,Darryl Philbin
65264310,311179,73244,Ellie Kemper,Erin Hannon
65264313,269720,73244,Amy Ryan,Holly Flax
65264319,310407,73244,James Spader,Robert California
65264322,271428,73244,Catherine Tate,Nellie Bertram
65264326,358475,73244,Zach Woods,Gabe Lewis
65264330,310905,73244,Rashida Jones,Karen Filippelli
63975938,247831,121361,Michelle Fairley,Catelyn Stark
63975957,247836,121361,Joe Dempsie,Gendry
63975976,247840,121361,Oona Chaplin,Talisa Maegyr
63975991,247845,121361,Hannah Murray,Gilly
63976004,247847,121361,Michael McElhatton,Roose Bolton
63976011,247849,121361,Dean-Charles Chapman,Tommen Baratheon
63976026,247851,121361,Carice van Houten,Melisandre
63976031,247852,121361,Rose Leslie,Ygritte
63976035,247853,121361,Jack Gleeson,Joffrey Baratheon
63976039,247854,121361,Nikolaj Coster-Waldau,Jaime Lannister
63976043,247855,121361,Richard Madden,Robb Stark
63976047,247856,121361,Jason Momoa,Khal Drogo
63976052,247857,121361,Alfie Allen,Theon Greyjoy
63976056,247858,121361,Sean Bean,Ned Stark
63976058,247859,121361,Harry Lloyd,Viserys Targaryen
63976069,247862,121361,Jerome Flynn,Bronn
63976079,247864,121361,Sibel Kekilli,Shae
63976083,247865,121361,James Cosmo,Jeor Mormont
63976093,247868,121361,Rory McCann,Sandor Clegane
63976096,247869,121361,Stephen Dillane,Stannis Baratheon
63976101,247871,121361,Charles Dance,Tywin Lannister
63976104,247872,121361,Iain Glen,Jorah Mormont
63976107,247873,121361,Aidan Gillen,Petyr Baelish
63976110,247874,121361,Gwendoline Christie,Brienne of Tarth
63976116,247876,121361,Michiel Huisman,Daario Naharis
63976119,247877,121361,Indira Varma,Ellaria Sand
63976122,247878,121361,Mark Addy,Robert Baratheon
63976129,247880,121361,Jacob Anderson,Grey Worm
63976133,247881,121361,Iwan Rheon,Ramsay Bolton
63976139,247882,121361,Tom Wlaschiha,Jaqen H'ghar
63976144,247883,121361,Liam Cunningham,Davos Seaworth
63976148,247884,121361,Nathalie Emmanuel,Missandei
63976158,247886,121361,Jonathan Pryce,High Sparrow
63976184,247891,121361,Kristofer Hivju,Tormund Giantsbane
63976209,247899,121361,John Bradley,Samwell Tarly
63976211,247900,121361,Conleth Hill,Varys
63976213,247901,121361,Sophie Turner,Sansa Stark
63976215,247902,121361,Maisie Williams,Arya Stark
63976217,247903,121361,Isaac Hempstead Wright,Bran Stark
63976219,247904,121361,Lena Headey,Cersei Lannister
63976221,247905,121361,Natalie Dormer,Margaery Tyrell
63976223,247906,121361,Emilia Clarke,Daenerys Targaryen
63976226,247907,121361,Peter Dinklage,Tyrion Lannister
63976230,247909,121361,Kit Harington,Jon Snow
64178859,269404,81189,Anna Gunn,Skyler White
64178863,275750,81189,Aaron Paul,Jesse Pinkman
64178867,248280,81189,Dean Norris,Hank Schrader
64178871,325833,81189,Betsy Brandt,Marie Schrader
64178876,472989,81189,RJ Mitte,Walter White Jr.
64178879,255211,81189,Bryan Cranston,Walter White
64178885,290451,81189,Bob Odenkirk,Saul Goodman
64178890,272968,81189,Giancarlo Esposito,Gustavo Fring
64178899,293588,81189,Jonathan Banks,Mike Ehrmantraut
64753159,296557,76156,John C. McGinley,Dr. Perry Cox
64753163,284402,76156,Judy Reyes,Nurse Carla Espinosa
64753166,310397,76156,Zach Braff,Dr. John Dorian 
64753169,303421,76156,Sarah Chalke,Dr. Elliot Reid
64753170,272889,76156,Ken Jenkins,Dr. Bob Kelso
64753172,296552,76156,Neil Flynn,The Janitor
64753174,266463,76156,Donald Faison,Dr. Christopher Turk 
64753176,277601,76156,Sam Lloyd,Ted Buckland
64753178,356690,76156,Robert Maschio,Todd Quinlan
64753180,290047,76156,Aloma Wright,Nurse Laverne Roberts
64753182,327287,76156,Christa Miller,Jordan Sullivan
64753184,360650,76156,Eliza Coupe,Denise Mahoney
64753186,404082,76156,Dave Franco,Cole McCallister
64753188,404083,76156,Kerry Bishé,Lucy Bennett
64753190,269586,76156,Michael Mosley,Drew Suffin
64753192,282096,76156,Heather Graham,Dr. Molly Clock
64753194,367281,76156,Johnny Kastl,Dr. Doug Murphy
64753196,248085,76156,Travis Schuldt,Keith Dudemeister
65935131,323956,74852,Mae Whitman,Katara
65935133,370465,74852,Jack De Sena,Sokka
65935134,285314,74852,Dante Basco,Zuko
65935135,256852,74852,Mako,Iroh
65935137,7893048,74852,Zach Tyler Eisen,Appa
65935138,281259,74852,Dee Bradley Baker,Momo
65935140,381499,74852,Jessie Flower,Toph Beifong
65935142,291511,74852,James Garrett,Roku
65935143,379829,74852,Jennie Kwan,Suki
65935146,7893058,74852,Cricket Leigh,Mai
65935147,290958,74852,Grey DeLisle,Azula
65935148,292671,74852,Olivia Hack,Ty Lee
65935150,248340,74852,Mark Hamill,Ozai
65935152,253048,74852,Melendy Britt,Gran Gran
65935159,346159,74852,Jason Isaacs,Zhao
65939397,290958,74852,Grey DeLisle,Ursa
65945178,7898503,74852,André Sogliuzzo,Bumi
68771912,7893048,74852,Zach Tyler Eisen,Aang
69318762,7898503,74852,André Sogliuzzo,Hakoda
63506267,7902723,360261,Alexa Demie,Maddy Perez
63506269,7902725,360261,Jacob Elordi,Nate Jacobs
63506271,464868,360261,Algee Smith,Chris McKay
63506273,304835,360261,Sydney Sweeney,Cassie Howard
63506275,480296,360261,Storm Reid,Gia Bennett
63506277,7902728,360261,Angus Cloud,Fezco
63506279,7902729,360261,Barbie Ferreira,Kat Hernandez
63506281,7902730,360261,Nika King,Leslie Bennett
63506284,7902731,360261,Hunter Schafer,Jules Vaughn
63506287,472753,360261,Maude Apatow,Lexi Howard
63506291,327412,360261,Zendaya,Rue Bennett
63506295,268163,360261,Eric Dane,Cal Jacobs
63506297,569390,360261,Austin Abrams,Ethan Daley
68604979,8548597,360261,Dominic Fike,Elliot
69100858,8134460,360261,Javon 'Wanna' Walton,Ashtray
69137568,317205,360261,Colman Domingo,Ali Muhammad
64421786,475252,323385,Dan Jeannotte,Ryan Decker
64421787,475253,323385,Aisha Dee,Kat Edison
64421788,394910,323385,Meghann Fahy,Sutton Brady
64421789,475254,323385,Katie Stevens,Jane Sloan
64421790,255300,323385,Melora Hardin,Jacqueline Carlyle
64421791,366504,323385,Sam Page,Richard Hunter
64421792,475255,323385,Nikohl Boosheri,Adena El-Amin
64421793,8036353,323385,Stephen Conrad Moore,Oliver Grayson
64421794,389654,323385,Matt Ward,Alex Crawford
64421795,8036354,323385,Luca James Lee,Ben Chau
64421797,8036355,323385,Katerina Tannenbaum,Leila
64421799,475259,323385,Adam Capriolo,Andrew
64421801,334183,323385,Peter Vack,Patrick Duchand
64421803,8036356,323385,Alexis Floyd,Tia Clayton
64051817,522429,314614,Phoebe Waller-Bridge,Fleabag
64051820,467260,314614,Sian Clifford,Claire
64051823,348468,314614,Bill Paterson,Dad
64051826,300806,314614,Olivia Colman,Godmother
64051828,473023,314614,Brett Gelman,Martin
64051830,493153,314614,Ben Aldridge,Arsehole Guy
64051832,501728,314614,Hugh Skinner,Harry
64051834,255641,314614,Hugh Dennis,Bank Manager
64051836,302142,314614,Jamie Demetriou,Bus Rodent
64051838,549516,314614,Jenny Rainsford,Boo
64051840,295574,314614,Andrew Scott,Priest
63442722,247850,361753,Pedro Pascal,The Mandalorian
63442728,254381,361753,Carl Weathers,Greef Karga
