input_name,matched_name,tvdb_id
The Big Bang Theory,The Big Bang Theory,80379
Friends,Friends,79168
The Office,The Office,78107
The Office (US),The Office (US),73244
Game of Thrones,Game of Thrones,121361
Breaking Bad,Breaking Bad,81189
Scrubs,Scrubs,76156
Avatar the Last Airbender,Avatar: The Last Airbender,74852
Euphoria,Euphoria,360261
The Bold Type,The Bold Type,323385
Fleabag,Fleabag,314614
The Mandalorian,The Mandalorian,361753
The Walking Dead,The Walking Dead,153021
Cosmos,Cosmos,74995
Regular Show,Regular Show,188401
Atypical,Atypical,330374
Sex Education,Sex Education,356317
Mr Robot,Mr. Robot,289590
The Boys,The Boys,355567
Invincible,Invincible,368207
Buffy the Vampire Slayer,Buffy the Vampire Slayer,70327
Beef,BEEF,399838
Smallville,Smallville,72218
Outlander,Outlander,270408
The Handmaid's Tale,The Handmaid's Tale,321239
From,FROM,401003
Schitt's Creek,Schitt's Creek,287247
Big Mistakes,Big Mistakes,466852
Ted Lasso,Ted Lasso,383203
The White Lotus,The White Lotus,390430
Black Mirror,Black Mirror,253463
Deadloch,Deadloch,403092
Stranger Things,Stranger Things,305288
Chuck,Chuck,80348
Gen V,Gen V,417909
Fallout,Fallout,416744
True Detective,True Detective,270633
Hannibal,Hannibal,259063
Chernobyl,Chernobyl,360893
Reacher,Reacher,366924
Sherlock,Sherlock,176941
Young Sheldon,Young Sheldon,328724
The Witcher,The Witcher,362696
The Last of Us,The Last of Us,392256
Westworld,Westworld,296762
Marvel's The Punisher,Marvel's The Punisher,331980
Blue Mountain State,Blue Mountain State,134511
Marvel's Daredevil,Marvel's Daredevil,281662
Silo,Silo,403245
The Åre Murders,Åremorden,458043
Severance,Severance,371980
Better Call Saul,Better Call Saul,273181
Squid Game,Squid Game,383275
Pantheon,Pantheon,417208
Demon Slayer: Kimetsu no Yaiba,Demon Slayer: Kimetsu no Yaiba,348545
Fullmetal Alchemist: Brotherhood,Fullmetal Alchemist: Brotherhood,85249
One Punch Man,One Punch Man,293088
Shogun,Shogun,80284
House of the Dragon,House of the Dragon,371572
3 Body Problem,3 Body Problem,411959
Peaky Blinders,Peaky Blinders,270915
"Love, Death & Robots","Love, Death & Robots",357888
Marvel - Jessica Jones,Marvel's Jessica Jones,284190
Money Heist,Money Heist Franchise,327417
You,You,336924
Alien: Earth,Alien: Earth,458912
Yellowstone,Yellowstone,341164
Spartacus: House of Ashur,Spartacus: House of Ashur,465189
Wednesday,Wednesday,397060
Dark,Dark,334824
The Man in the High Castle,The Man in the High Castle,295829
The Lord of the Rings: The Rings of Power,The Lord of the Rings: The Rings of Power,367506
1899,1899,384429
Spartacus,Spartacus,129261
The Sopranos,The Sopranos,75299
Georgie & Mandy's First Marriage,Georgie & Mandy's First Marriage,448023
Slow Horses,Slow Horses,372264
Arcane,Arcane,371028
Top Gear,Top Gear,74608
Brooklyn 99,Brooklyn Nine-Nine,269586
Charmed,Charmed,70626
American Horror Story,American Horror Story,250487
The Blacklist,The Blacklist,266189
Mr Inbetween,Mr Inbetween,349743
The Legend of Korra,The Legend of Korra,251085
Dexter,Dexter,79349
The Bear,The Bear,403294
Peacemaker,Peacemaker,391153
Attack on Titan (267440),進撃の巨人,267440
Godfather of Harlem,Godfather of Harlem,365186
See,See,361565
The Morning Show,The Morning Show,361563
Obi-Wan Kenobi,Obi-Wan Kenobi,393199
Marvel's Ironfist,Marvel's Iron Fist,317953
Vikings,Vikings,260449
Vikings: Valhalla,Vikings: Valhalla,372700
Entourage,Entourage,74543
One Piece (2023),ONE PIECE (2023),392276
One Piece (81797),ワンピース,81797
Cobra Kai,Cobra Kai,332858
Marry My Husband (430595),내 남편과 결혼해줘,430595
Hazbin Hotel,Hazbin Hotel,358805
A Man on the Inside,A Man on the Inside,445646
Beast Games,Beast Games,447806
That '70s Show,That '70s Show,73787
Shameless (78846),Shameless,78846
Shameless (US),Shameless (US),161511
Watchmen,Watchmen,360733
Supernatural,Supernatural,78901
The Fall of the House of Usher,The Fall of the House of Usher,411021
Loki,Loki,362472
House,House,73255
Countdown (2025),Countdown (2025),450932
Lost,Lost,73739
Solo Leveling,俺だけレベルアップな件,389597
Falling Skies,Falling Skies,205281
Mad Men,Mad Men,80337
Rick and Morty,Rick and Morty,275274
Bodyguard (2018),Bodyguard (2018),349310
Upload,Upload,368211
Shrinking,Shrinking,411364
Foundation (2021),Foundation (2021),366972
Lessons in Chemistry,Lessons in Chemistry,395685
What If...?,What If...?,367147
Heated Rivalry,Heated Rivalry,464461
The Brothers Sun,The Brothers Sun,415679
Jujutsu Kaisen,Jujutsu Kaisen,377543
Avatar: The Last Airbender (2024),Avatar: The Last Airbender (2024),385925
Bridgerton,Bridgerton,366668
House of Cards,House of Cards,79861
A Knight of the Seven Kingdoms,A Knight of the Seven Kingdoms,433631
The Haunting,The Haunting,345246
Midnight Mass,Midnight Mass (2021),367226
The Vampire Diaries,The Vampire Diaries,95491
Teen Wolf,Teen Wolf,175001
The Americans (2013),The Americans (2013),261690
Bones,Bones,75682
Veronica Mars,Veronica Mars,73730
Firefly,Firefly,78874
Castle (2009),Castle (2009),83462
Power,Power,276562
Modern Family,Modern Family,95011
Vinland Saga,ヴィンランド・サガ,359274
Black Clover (331753),ブラッククローバー,331753
Naruto,Naruto,78857
Naruto Shippuden,NARUTO－ナルト－ 疾風伝,79824
Boruto: Naruto Next Generations,BORUTO-ボルト- NARUTO NEXT GENERATIONS,321285
How To Sell Drugs Online (Fast),How to Sell Drugs Online (Fast),361034
Skins,Skins,79773
My Hero Academia,My Hero Academia,305074
Sons of Anarchy,Sons of Anarchy,82696
True Blood,True Blood,82283
The Good Place,The Good Place,311711
How I Met Your Mother,How I Met Your Mother,75760
It's Always Sunny In Philadelphia,It's Always Sunny in Philadelphia,75805
The X-Files,The X-Files,77398
Pokemon (76703),ポケットモンスター,76703
Bleach,BLEACH,74796
Once Upon a Time,Once Upon A Time (2011),248835
Sword Art Online (259640),ソードアート・オンライン,259640
Sword Art Online Alternative: Gun Gale Online,ソードアート・オンライン オルタナティブ ガンゲイル・オンライン,335815
Fate/Zero,Fate/Zero,275798
Fate/Stay Night: Unlimited Blade Works,Fate/stay night [Unlimited Blade Works],278626
Fate/Apocrypha,Fate/Apocrypha,326332
Steins;Gate 0,シュタインズ・ゲート ゼロ,339268
Chainsaw Man,Chainsaw Man,397934
Wu-Tang: An American Sage,Wu-Tang: An American Saga,354080
Lucifer,Lucifer,295685
Futurama,Futurama,73871
Dan Da Dan,Dan Da Dan,432832
Adventure Time,Adventure Time,152831
What We Do in the Shadows,What We Do in the Shadows,358211
How to Get Away With Murder,How to Get Away with Murder,281620
Preacher,Preacher,300472
New Girl,New Girl,248682
Trigun,TRIGUN,77680
Trigun Stampede,TRIGUN STAMPEDE,421378
Cowboy Bebop (76885),カウボーイビバップ,76885
Community,Community,94571
The Fresh Prince of Bel-Air,The Fresh Prince of Bel-Air,76738
Bel-Air (388151),Bel-Air,388151
M*A*S*H,M*A*S*H,70994
Misfits,Misfits,124051
Turn A Gundam,Turn A Gundam II: Moonlight Butterfly,71585
Neon Genesis Evangelion (70350),新世紀エヴァンゲリオン,70350
Mobile Suit Gundam 00,Mobile Suit Gundam 00: A Wakening of the Trailblazer,80675
JoJo's Bizarre Adventure (83950),ジョジョの奇妙な冒険,83950
JoJo's Bizarre Adventure (2012),ジョジョの奇妙な冒険 (2012),262954
Sleepy Hollow,Sleepy Hollow,269578
Code Geass: Lelouch of the Rebellion,Code Geass: Lelouch of the Rebellion Recap,79525
Zoids: New Century/Zero,ゾイド新世紀／ゼロ,84040
Mobile Suit Gundam SEED (254931),機動戦士ガンダムSEED,254931
Gurren Lagann (80096),天元突破グレンラガン,80096
Queen's Gambit,The Queen's Gambit,387115
Chilling Adventures of Sabrina,Chilling Adventures of Sabrina,338947
The Crown,The Crown,305574
Lupin,Lupin,375921
Fate: The Winx Saga,Fate: The Winx Saga,368185
Wandavision,WandaVision,362392
Moon Knight,Moon Knight,368611
Halo,Halo,366524
Ms Marvel,Ms. Marvel,368612
The Umbrella Academy,The Umbrella Academy,353764
She-Hulk: Attorney at Law,She-Hulk: Attorney at Law,368613
The Sandman,The Sandman,366211
13 Reasons Why,13 Reasons Why,323168
Dynasty,Dynasty,71487
Orange is the New Black,Orange Is the New Black,264586
The Book of Boba Fett,The Book of Boba Fett,393589
The End of the F***ing World,The End of the F***ing World,336522
The Continental: From the World of John Wick,The Continental (2023),414734
The Gentlemen (426845),The Gentlemen,426845
﻿The Big Bang Theory,The Big Bang Theory,80379
Love Death & Robots,"Love, Death & Robots",357888
The Sandman (366211),The Sandman,366211
Zoids (77907),ゾイド-ZOIDS-,77907
