input_name,matched_name,tvdb_id
The Big Bang Theory,The Big Bang Theory,80379
Friends,Friends,79168
The Office,The Office,78107
The Office (US),The Office (US),73244
Game of Thrones,Game of Thrones,121361
Breaking Bad,Breaking Bad,81189
Scrubs,Scrubs,76156
Avatar the Last Airbender,Avatar: The Last Airbender,74852
Euphoria,Euphoria,360261
The Bold Type,The Bold Type,323385
Fleabag,Fleabag,314614
The Mandalorian,The Mandalorian,361753
The Walking Dead,The Walking Dead,153021
Cosmos,Cosmos,74995
Regular Show,Regular Show,188401
Atypical,Atypical,330374
Sex Education,Sex Education,356317
Mr Robot,Mr. Robot,289590
The Boys,The Boys,355567
Invincible,Invincible,368207
Buffy the Vampire Slayer,Buffy the Vampire Slayer,70327
Beef,BEEF,399838
Smallville,Smallville,72218
Outlander,Outlander,270408
The Handmaid's Tale,The Handmaid's Tale,321239
From,FROM,401003
Schitt's Creek,Schitt's Creek,287247
Big Mistakes,Big Mistakes,466852
Ted Lasso,Ted Lasso,383203
The White Lotus,The White Lotus,390430
Black Mirror,Black Mirror,253463
Deadloch,Deadloch,403092
Stranger Things,Stranger Things,305288
Chuck,Chuck,80348
Gen V,Gen V,417909
Fallout,Fallout,416744
True Detective,True Detective,270633
Hannibal,Hannibal,259063
Chernobyl,Chernobyl,360893
Reacher,Reacher,366924
Sherlock,Sherlock,176941
Young Sheldon,Young Sheldon,328724
The Witcher,The Witcher,362696
The Last of Us,The Last of Us,392256
Westworld,Westworld,296762
Marvel's The Punisher,Marvel's The Punisher,331980
Blue Mountain State,Blue Mountain State,134511
Marvel's Daredevil,Marvel's Daredevil,281662
Silo,Silo,403245
The Åre Murders,Åremorden,458043
Severance,Severance,371980
Better Call Saul,Better Call Saul,273181
Squid Game,Squid Game,383275
Pantheon,Pantheon,417208
Demon Slayer: Kimetsu no Yaiba,Demon Slayer: Kimetsu no Yaiba,348545
Fullmetal Alchemist: Brotherhood,Fullmetal Alchemist: Brotherhood,85249
One Punch Man,One Punch Man,293088
Shogun,Shogun,80284
House of the Dragon,House of the Dragon,371572
3 Body Problem,3 Body Problem,411959
Peaky Blinders,Peaky Blinders,270915
"Love, Death & Robots","Love, Death & Robots",357888
Marvel - Jessica Jones,Marvel's Jessica Jones,284190
Money Heist,Money Heist Franchise,"327417
"
You,You,336924
Alien: Earth,Alien: Earth,458912
Yellowstone,Yellowstone,341164
Spartacus: House of Ashur,Spartacus: House of Ashur,465189
Wednesday,Wednesday,397060
Dark,Dark,334824
The Man in the High Castle,The Man in the High Castle,295829
The Lord of the Rings: The Rings of Power,The Lord of the Rings: The Rings of Power,367506
1899,1899,384429
Spartacus,Spartacus,129261
The Sopranos,The Sopranos,75299
Georgie & Mandy's First Marriage,Georgie & Mandy's First Marriage,448023
Slow Horses,Slow Horses,372264
Arcane,Arcane,371028
Top Gear,Top Gear,74608
Brooklyn 99,Brooklyn Nine-Nine,269586
Charmed,Charmed,70626
